floor,seed,source,item,quantity,durability,uses,loaded,spare,x,y
1,6,ground,Lighter,1,0,20,0,0,55,39
1,6,ground,Hatchet,1,35,0,0,0,27,33
1,6,ground,Hunting Spear,1,45,0,0,0,36,84
1,6,ground,Medkit,1,0,0,0,0,35,49
1,6,ground,Bandage,2,0,0,0,0,34,65
1,6,ground,Medkit,1,0,0,0,0,14,56
1,6,ground,Bird Seed,1,0,0,0,0,33,37
1,6,ground,Ammo,1,0,0,0,0,12,53
1,6,ground,Fried Egg,2,0,0,0,0,83,11
1,6,ground,Stick,1,18,0,0,0,38,55
1,7,ground,Stick,1,18,0,0,0,35,13
1,7,ground,Torch,1,90,0,0,0,59,57
1,7,ground,Throwing Net,2,0,0,0,0,60,57
1,7,ground,Torch,1,90,0,0,0,55,11
1,7,ground,Throwing Rock,3,0,0,0,0,42,8
1,7,ground,Rake,1,400,0,0,0,84,14
1,7,ground,Bandage,2,0,0,0,0,83,4
1,7,ground,Resin Glue,1,0,0,0,0,29,37
1,7,ground,Ammo,1,0,0,0,0,33,40
1,7,ground,Rope Snare,2,0,0,0,0,9,15
1,7,ground,Ammo,1,0,0,0,0,14,9
1,7,ground,Medkit,1,0,0,0,0,8,36
1,7,ground,Pickaxe,1,32,0,0,0,82,21
1,7,ground,Stick,1,18,0,0,0,40,29
1,7,wall,Hunting Horn,1,0,8,0,0,71,16
1,8,ground,Stick,1,18,0,0,0,79,37
1,8,ground,River Fish,6,0,0,0,0,56,31
1,8,ground,Fishing Line,1,0,20,0,0,55,28
1,8,ground,Rope Snare,2,0,0,0,0,79,23
1,8,ground,Mushroom spores,2,0,0,0,0,57,29
1,8,ground,Rake,1,400,0,0,0,57,56
1,8,ground,Bandage,2,0,0,0,0,59,53
1,8,ground,Bandage,2,0,0,0,0,75,7
1,8,ground,Ammo,1,0,0,0,0,6,81
1,8,ground,Fried Egg,2,0,0,0,0,33,61
1,8,ground,Pickaxe,1,32,0,0,0,81,52
1,8,ground,Seed Bag,1,0,6,0,0,81,65
1,8,wall,Seed Bag,1,0,6,0,0,87,9
1,9,ground,Stick,1,18,0,0,0,33,35
1,9,ground,River Fish,6,0,0,0,0,100,54
1,9,ground,Raw Meat,1,0,0,0,0,82,38
1,9,ground,Bear Trap,2,0,0,0,0,10,27
1,9,ground,Lighter,1,0,20,0,0,55,30
1,9,ground,Seed Bag,1,0,6,0,0,71,28
1,9,ground,Ammo,1,0,0,0,0,85,60
1,9,ground,Bandage,2,0,0,0,0,18,13
1,9,ground,Ammo,1,0,0,0,0,59,58
1,9,ground,Medkit,1,0,0,0,0,51,81
1,9,ground,River Fish,2,0,0,0,0,110,45
1,9,ground,River Fish,5,0,0,0,0,109,30
1,9,ground,Water flask,2,0,0,0,0,57,37
1,9,ground,Thorn Caltrops,2,0,0,0,0,10,13
1,9,wall,Sticky Boots,1,0,4,0,0,22,41
1,9,wall,Seed Bag,1,0,6,0,0,70,61
1,10,ground,Stick,1,18,0,0,0,13,80
1,10,ground,Seed Bag,1,0,6,0,0,40,44
1,10,ground,Lighter,1,0,20,0,0,11,49
1,10,ground,Hatchet,1,35,0,0,0,77,38
1,10,ground,Throwing Net,2,0,0,0,0,78,38
1,10,ground,Torch,1,90,0,0,0,55,35
1,10,ground,River Fish,6,0,0,0,0,36,78
1,10,ground,Pickaxe,1,32,0,0,0,61,87
1,10,ground,Wooden Maul,1,24,0,0,0,11,48
1,10,ground,Water flask,2,0,0,0,0,40,77
1,10,ground,Medkit,1,0,0,0,0,54,13
1,10,ground,Bandage,2,0,0,0,0,56,7
1,10,ground,Torch,1,90,0,0,0,59,7
1,10,ground,Ammo,1,0,0,0,0,59,15
1,10,ground,River Fish,2,0,0,0,0,42,51
1,10,ground,River Fish,5,0,0,0,0,57,47
1,10,ground,Bandage,3,0,0,0,0,50,79
1,10,ground,Fried Egg,2,0,0,0,0,61,80
1,10,wall,Pitch Bomb,2,0,0,0,0,74,47
1,11,ground,Stick,1,18,0,0,0,57,36
1,11,ground,Wooden Maul,1,24,0,0,0,31,57
1,11,ground,Bird Seed,3,0,0,0,0,50,81
1,11,ground,River Fish,4,0,0,0,0,56,102
1,11,ground,Flint Knife,1,60,0,0,0,29,74
1,11,ground,Chili,1,0,0,0,0,55,60
1,11,ground,Hunting Spear,1,45,0,0,0,56,8
1,11,ground,Ammo,1,0,0,0,0,57,8
1,11,ground,Mushroom spores,2,0,0,0,0,62,100
1,11,ground,Fungal Bread,1,0,0,0,0,28,102
1,11,ground,Ammo,1,0,0,0,0,81,101
1,11,ground,Bandage,2,0,0,0,0,33,35
1,11,ground,River Fish,2,0,0,0,0,47,85
1,11,ground,River Fish,3,0,0,0,0,36,27
1,11,ground,River Fish,3,0,0,0,0,24,16
1,11,stored,Mushroom spores,2,0,0,0,0,64,56
1,12,ground,Stick,1,18,0,0,0,13,57
1,12,ground,River Fish,6,0,0,0,0,15,10
1,12,ground,River Fish,6,0,0,0,0,63,37
1,12,ground,Torch,1,90,0,0,0,81,33
1,12,ground,Rake,1,400,0,0,0,13,31
1,12,ground,Bandage,2,0,0,0,0,14,40
1,12,ground,Mushroom spores,2,0,0,0,0,15,7
1,12,ground,Ammo,1,0,0,0,0,31,11
1,12,ground,Herb Bag,1,0,4,0,0,42,34
1,12,ground,Chili,1,0,0,0,0,11,81
1,12,ground,Ammo,1,0,0,0,0,9,82
1,12,ground,River Fish,3,0,0,0,0,54,20
1,12,ground,River Fish,4,0,0,0,0,40,14
1,12,ground,Reflecting Pan,1,24,0,0,0,52,26
1,12,ground,Fried Egg,2,0,0,0,0,29,20
1,12,ground,Straw Decoy,1,0,0,0,0,43,8
1,12,wall,Cooked Meat,2,0,0,0,0,20,14
1,13,ground,Stick,1,18,0,0,0,34,13
1,13,ground,Sap jar,2,0,0,0,0,31,48
1,13,ground,Hatchet,1,35,0,0,0,31,63
1,13,ground,Rake,1,400,0,0,0,31,39
1,13,ground,Buckler,1,30,0,0,0,77,60
1,13,ground,Stink Bomb,2,0,0,0,0,18,16
1,13,ground,Ammo,1,0,0,0,0,12,11
1,13,ground,Bird Seed,1,0,0,0,0,50,36
1,13,ground,Fungal Bread,1,0,0,0,0,51,29
1,13,ground,Oil flask,1,0,0,0,0,72,29
1,13,ground,Ammo,1,0,0,0,0,107,38
1,13,ground,Herb Bag,1,0,4,0,0,56,61
1,13,stored,Splint,1,0,2,0,0,39,83
1,13,ground,Bandage,3,0,0,0,0,55,38
1,13,ground,Mushroom spores,2,0,0,0,0,33,76
1,13,ground,Stick,1,18,0,0,0,100,39
1,13,wall,Throwing Rock,3,0,0,0,0,55,70
1,14,ground,Stick,1,18,0,0,0,55,13
1,14,ground,Buckler,1,30,0,0,0,35,22
1,14,ground,Resin Glue,1,0,0,0,0,13,25
1,14,ground,Hunting Horn,1,0,8,0,0,62,9
1,14,ground,Torch,1,90,0,0,0,52,32
1,14,ground,Pickaxe,1,32,0,0,0,81,39
1,14,ground,Ammo,1,0,0,0,0,74,33
1,14,ground,Ammo,1,0,0,0,0,34,53
1,14,ground,Medkit,1,0,0,0,0,32,79
1,14,ground,Bandage,2,0,0,0,0,36,78
1,14,ground,Mushroom spores,2,0,0,0,0,18,53
1,14,ground,Cooked Meat,2,0,0,0,0,105,33
1,14,wall,Mushroom spores,2,0,0,0,0,53,24
1,14,wall,Stick,1,18,0,0,0,70,39
1,15,ground,Stick,1,18,0,0,0,56,58
1,15,ground,Buckler,1,30,0,0,0,52,94
1,15,ground,Lighter,1,0,20,0,0,59,100
1,15,ground,Hatchet,1,35,0,0,0,68,100
1,15,ground,Water flask,2,0,0,0,0,56,87
1,15,ground,Hatchet,1,35,0,0,0,29,52
1,15,ground,Torch,1,90,0,0,0,29,51
1,15,ground,Torch,1,90,0,0,0,29,83
1,15,ground,Root Drill,1,0,3,0,0,29,84
1,15,carried,Buckler,1,30,0,0,0,35,60
1,15,carried,Buckler,1,30,0,0,0,27,65
1,15,carried,Buckler,1,30,0,0,0,36,72
1,15,ground,Firecracker,2,0,0,0,0,32,82
1,15,ground,Firecracker,2,0,0,0,0,28,72
1,15,ground,Fungal Bread,2,0,0,0,0,32,58
1,15,ground,Flint Knife,1,60,0,0,0,31,78
1,15,ground,Hatchet,1,35,0,0,0,73,57
1,15,ground,Ammo,1,0,0,0,0,75,49
1,15,ground,Rake,1,400,0,0,0,31,33
1,15,ground,Herb Bag,1,0,4,0,0,35,29
1,15,ground,Medkit,1,0,0,0,0,8,86
1,15,ground,Throwing Rock,3,0,0,0,0,34,15
1,15,ground,Ammo,1,0,0,0,0,32,6
1,15,ground,Pitch Bomb,2,0,0,0,0,38,33
1,15,wall,Mushroom spores,2,0,0,0,0,35,21
1,16,ground,Stick,1,18,0,0,0,79,15
1,16,ground,Pickaxe,1,32,0,0,0,66,43
1,16,ground,Digging Claws,1,200,0,0,0,71,42
1,16,ground,Mushroom spores,2,0,0,0,0,54,44
1,16,ground,Hatchet,1,35,0,0,0,66,37
1,16,ground,Boomerang,1,0,0,0,0,11,33
1,16,ground,Hatchet,1,35,0,0,0,32,37
1,16,ground,Shield Lantern,1,24,0,0,0,41,63
1,16,ground,Buckler,1,30,0,0,0,82,78
1,16,ground,Ammo,1,0,0,0,0,78,82
1,16,ground,Medkit,1,0,0,0,0,101,37
1,16,ground,Bandage,2,0,0,0,0,102,29
1,16,ground,Wooden Maul,1,24,0,0,0,104,41
1,16,ground,Ammo,1,0,0,0,0,96,37
1,16,ground,Medkit,1,0,0,0,0,40,56
1,16,wall,Bear Trap,2,0,0,0,0,26,51
1,17,ground,Stick,1,18,0,0,0,35,80
1,17,ground,Hatchet,1,35,0,0,0,37,50
1,17,ground,Torch,1,90,0,0,0,38,50
1,17,ground,Torch,1,90,0,0,0,8,50
1,17,ground,Root Drill,1,0,3,0,0,7,50
1,17,carried,Buckler,1,30,0,0,0,5,56
1,17,carried,Buckler,1,30,0,0,0,16,55
1,17,ground,Fungal Bread,2,0,0,0,0,9,61
1,17,ground,Smoke pot,2,0,0,0,0,14,97
1,17,ground,Rake,1,400,0,0,0,33,98
1,17,ground,Bandage,2,0,0,0,0,38,103
1,17,ground,Rake,1,400,0,0,0,13,41
1,17,ground,Herb Bag,1,0,4,0,0,9,32
1,17,ground,Sticky Boots,1,0,4,0,0,30,120
1,17,ground,Ammo,1,0,0,0,0,33,114
1,17,ground,Ammo,1,0,0,0,0,10,76
1,17,ground,River Fish,3,0,0,0,0,26,45
1,17,ground,Rope Hook,1,0,24,0,0,17,28
1,17,ground,Bear Trap,2,0,0,0,0,36,37
1,17,ground,Hunting Horn,1,0,8,0,0,18,101
1,17,wall,Throwing Rock,3,0,0,0,0,18,115
1,18,ground,Stick,1,18,0,0,0,78,80
1,18,ground,Digging Claws,1,200,0,0,0,110,60
1,18,ground,Splint,1,0,2,0,0,110,79
1,18,ground,Water flask,2,0,0,0,0,124,71
1,18,ground,Hunting Horn,1,0,8,0,0,120,59
1,18,ground,River Fish,5,0,0,0,0,36,28
1,18,ground,Stick,1,18,0,0,0,10,39
1,18,ground,Fungal Bread,1,0,0,0,0,14,35
1,18,ground,Rope Snare,2,0,0,0,0,3,32
1,18,ground,Hunting Spear,1,45,0,0,0,58,75
1,18,ground,Raw Meat,1,0,0,0,0,57,81
1,18,ground,Throwing Rock,3,0,0,0,0,6,36
1,18,ground,Ammo,1,0,0,0,0,53,84
1,18,ground,Lighter,1,0,20,0,0,35,78
1,18,ground,Ammo,1,0,0,0,0,34,78
1,18,ground,Rope Hook,1,0,24,0,0,12,57
1,18,ground,Splint,1,0,2,0,0,56,62
1,18,ground,Medkit,1,0,0,0,0,53,36
1,18,ground,Bandage,2,0,0,0,0,48,34
1,18,ground,Hatchet,1,35,0,0,0,48,80
1,18,ground,Thorn Caltrops,2,0,0,0,0,29,52
1,18,ground,Stick,1,18,0,0,0,39,57
1,18,ground,Pickaxe,1,32,0,0,0,63,80
1,18,wall,Fried Egg,2,0,0,0,0,43,75
1,19,ground,Stick,1,18,0,0,0,57,57
1,19,ground,Throwing Rock,3,0,0,0,0,23,34
1,19,ground,Digging Claws,1,200,0,0,0,6,24
1,19,ground,Hunting Spear,1,45,0,0,0,80,56
1,19,ground,Lighter,1,0,20,0,0,75,38
1,19,ground,Shield Lantern,1,24,0,0,0,61,41
1,19,ground,Oil flask,1,0,0,0,0,61,36
1,19,ground,Resin Glue,1,0,0,0,0,59,82
1,19,ground,Ammo,1,0,0,0,0,53,75
1,19,ground,Medkit,1,0,0,0,0,102,49
1,19,ground,Bear Trap,2,0,0,0,0,36,76
1,19,ground,Ammo,1,0,0,0,0,33,83
1,19,ground,Bandage,2,0,0,0,0,103,49
1,19,ground,Hatchet,1,35,0,0,0,59,73
1,19,wall,Throwing Rock,3,0,0,0,0,62,88
1,20,ground,Stick,1,18,0,0,0,77,35
1,20,ground,River Fish,5,0,0,0,0,54,53
1,20,ground,River Fish,6,0,0,0,0,102,82
1,20,ground,Pitch Bomb,2,0,0,0,0,67,14
1,20,ground,Boomerang,1,0,0,0,0,72,15
1,20,ground,Ammo,1,0,0,0,0,76,10
1,20,ground,Lighter,1,0,20,0,0,72,56
1,20,ground,Ammo,1,0,0,0,0,83,54
1,20,ground,Water flask,2,0,0,0,0,52,57
1,20,ground,Medkit,1,0,0,0,0,96,61
1,20,ground,Bandage,2,0,0,0,0,106,56
1,20,ground,River Fish,3,0,0,0,0,88,58
1,20,ground,River Fish,5,0,0,0,0,81,45
1,20,ground,River Fish,4,0,0,0,0,69,36
1,20,ground,River Fish,4,0,0,0,0,65,20
1,20,ground,Hatchet,1,35,0,0,0,99,88
1,20,ground,Stick,1,18,0,0,0,9,85
1,21,ground,Stick,1,18,0,0,0,77,79
1,21,ground,River Fish,6,0,0,0,0,35,30
1,21,ground,Pickaxe,1,32,0,0,0,26,37
1,21,ground,Ammo,1,0,0,0,0,72,51
1,21,ground,Rope Snare,2,0,0,0,0,65,61
1,21,ground,Ammo,1,0,0,0,0,54,51
1,21,ground,Rake,1,400,0,0,0,35,58
1,21,ground,Herb Bag,1,0,4,0,0,36,56
1,21,ground,Fungal Bread,1,0,0,0,0,98,61
1,21,ground,River Fish,2,0,0,0,0,45,19
1,21,ground,River Fish,2,0,0,0,0,76,12
1,21,stored,Bitter Root,1,0,0,0,0,57,33
1,21,stored,Bird Seed,3,0,0,0,0,61,35
1,21,wall,Fungal Bread,1,0,0,0,0,81,52
1,22,ground,Stick,1,18,0,0,0,77,59
1,22,ground,Bandage,3,0,0,0,0,30,71
1,22,ground,Egg,3,0,0,0,0,21,64
1,22,ground,River Fish,3,0,0,0,0,53,59
1,22,ground,Fishing Line,1,0,20,0,0,54,61
1,22,ground,Mushroom spores,2,0,0,0,0,35,62
1,22,ground,Bird Seed,1,0,0,0,0,82,79
1,22,ground,Bandage,2,0,0,0,0,77,77
1,22,ground,Stink Bomb,2,0,0,0,0,52,80
1,22,ground,Herb Bag,1,0,4,0,0,48,83
1,22,ground,Ammo,1,0,0,0,0,59,11
1,22,ground,Bomb,2,0,0,0,0,62,82
1,22,wall,Cooked Meat,2,0,0,0,0,53,71
1,23,ground,Stick,1,18,0,0,0,57,15
1,23,ground,Torch,1,90,0,0,0,51,62
1,23,ground,Sticky Boots,1,0,4,0,0,54,51
1,23,ground,River Fish,4,0,0,0,0,80,8
1,23,ground,Fishing Line,1,0,20,0,0,81,8
1,23,ground,River Fish,5,0,0,0,0,37,56
1,23,ground,Fishing Line,1,0,20,0,0,37,53
1,23,ground,Digging Claws,1,200,0,0,0,35,42
1,23,ground,Water flask,2,0,0,0,0,84,10
1,23,ground,Medkit,1,0,0,0,0,30,41
1,23,ground,Water flask,2,0,0,0,0,32,54
1,23,ground,Bandage,2,0,0,0,0,32,77
1,23,ground,Ammo,1,0,0,0,0,29,41
1,23,ground,River Fish,4,0,0,0,0,21,80
1,23,ground,Flint Knife,1,60,0,0,0,104,16
1,23,ground,Sticky Boots,1,0,4,0,0,24,87
1,23,ground,Cooked Meat,2,0,0,0,0,16,84
1,23,wall,Mushroom spores,2,0,0,0,0,43,78
1,24,ground,Stick,1,18,0,0,0,78,59
1,24,ground,Flint Knife,1,60,0,0,0,13,51
1,24,ground,Throwing Net,2,0,0,0,0,14,51
1,24,ground,Torch,1,90,0,0,0,35,56
1,24,ground,River Fish,6,0,0,0,0,31,8
1,24,ground,Fishing Line,1,0,20,0,0,31,5
1,24,ground,Honey pot,1,0,0,0,0,26,32
1,24,ground,Bear Trap,2,0,0,0,0,58,36
1,24,ground,Hunting Horn,1,0,8,0,0,81,85
1,24,ground,Ammo,1,0,0,0,0,75,78
1,24,ground,Bird Seed,1,0,0,0,0,52,61
1,24,ground,Herb Bag,1,0,4,0,0,46,53
1,24,ground,Thorn Caltrops,1,0,0,0,0,38,31
1,24,ground,Bandage,2,0,0,0,0,11,41
1,24,ground,Ammo,1,0,0,0,0,15,11
1,24,ground,River Fish,2,0,0,0,0,48,26
1,24,ground,River Fish,3,0,0,0,0,42,14
1,24,stored,Fungal Bread,1,0,0,0,0,57,52
1,24,stored,Mushroom spores,2,0,0,0,0,53,61
1,24,ground,Hatchet,1,35,0,0,0,63,53
1,24,wall,Digging Claws,1,200,0,0,0,4,28
1,25,ground,Stick,1,18,0,0,0,57,59
1,25,ground,Boomerang,1,0,0,0,0,29,56
1,25,ground,Water flask,2,0,0,0,0,39,49
1,25,ground,Fungal Bread,1,0,0,0,0,39,61
1,25,ground,Water flask,2,0,0,0,0,51,34
1,25,ground,Bandage,2,0,0,0,0,8,73
1,25,ground,Ammo,1,0,0,0,0,60,84
1,25,ground,Ammo,1,0,0,0,0,32,9
1,25,ground,River Fish,2,0,0,0,0,50,24
1,25,ground,River Fish,3,0,0,0,0,39,16
1,25,ground,Bandage,3,0,0,0,0,20,82
1,25,ground,Lighter,1,0,20,0,0,42,23
1,26,ground,Stick,1,18,0,0,0,57,37
1,26,ground,Stick,1,18,0,0,0,104,14
1,26,ground,Pickaxe,1,32,0,0,0,97,24
1,26,ground,Bow,1,0,0,20,0,52,40
1,26,ground,Chili,1,0,0,0,0,81,28
1,26,ground,Resin Glue,1,0,0,0,0,35,36
1,26,ground,Ammo,1,0,0,0,0,36,35
1,26,ground,Hunting Spear,1,45,0,0,0,39,59
1,26,ground,Ammo,1,0,0,0,0,37,57
1,26,ground,Bandage,2,0,0,0,0,98,59
1,26,ground,Medkit,1,0,0,0,0,122,12
1,26,ground,Rope Hook,1,0,24,0,0,4,37
1,26,ground,Torch,1,90,0,0,0,10,34
1,26,ground,Smoke pot,2,0,0,0,0,104,58
1,26,ground,Rake,1,400,0,0,0,13,25
1,26,wall,Torch,1,90,0,0,0,76,41
1,27,ground,Stick,1,18,0,0,0,34,81
1,27,ground,Flint Knife,1,60,0,0,0,39,39
1,27,ground,Splint,1,0,2,0,0,35,56
1,27,ground,River Fish,3,0,0,0,0,13,50
1,27,ground,Bomb,2,0,0,0,0,36,67
1,27,ground,Mushroom spores,2,0,0,0,0,57,41
1,27,ground,Medkit,1,0,0,0,0,62,54
1,27,ground,Pickaxe,1,32,0,0,0,37,9
1,27,ground,Ammo,1,0,0,0,0,39,6
1,27,ground,Herb Bag,1,0,4,0,0,53,16
1,27,ground,Ammo,1,0,0,0,0,59,60
1,27,stored,Sleep Meds,3,0,0,0,0,9,77
1,27,ground,Pickaxe,1,32,0,0,0,42,11
1,27,ground,Rake,1,400,0,0,0,9,106
1,28,ground,Stick,1,18,0,0,0,77,35
1,28,ground,Stick,1,18,0,0,0,22,19
1,28,ground,River Fish,4,0,0,0,0,100,28
1,28,ground,Digging Claws,1,200,0,0,0,34,56
1,28,ground,Oil flask,1,0,0,0,0,76,10
1,28,ground,Resin Glue,1,0,0,0,0,55,10
1,28,ground,Ammo,1,0,0,0,0,54,9
1,28,ground,Medkit,1,0,0,0,0,35,52
1,28,ground,Bandage,2,0,0,0,0,35,61
1,28,ground,Ammo,1,0,0,0,0,31,57
1,28,ground,Hatchet,1,35,0,0,0,65,34
1,29,ground,Stick,1,18,0,0,0,77,57
1,29,ground,Hunting Horn,1,0,8,0,0,74,12
1,29,ground,Shield Lantern,1,24,0,0,0,57,18
1,29,ground,Herb Bag,1,0,4,0,0,73,16
1,29,ground,Hatchet,1,35,0,0,0,81,15
1,29,ground,Buckler,1,30,0,0,0,27,51
1,29,ground,Ammo,1,0,0,0,0,78,32
1,29,ground,Bitter Root,1,0,0,0,0,57,38
1,29,ground,Flint Knife,1,60,0,0,0,39,35
1,29,ground,Fungal Bread,1,0,0,0,0,33,30
1,29,ground,Herb Bag,1,0,4,0,0,71,78
1,29,ground,Ammo,1,0,0,0,0,31,50
1,29,ground,Mushroom spores,2,0,0,0,0,69,40
1,29,ground,Bandage,3,0,0,0,0,56,28
1,30,ground,Stick,1,18,0,0,0,12,57
1,30,ground,Torch,1,90,0,0,0,48,73
1,30,ground,Stick,1,18,0,0,0,35,73
1,30,ground,Bow,1,0,0,20,0,34,29
1,30,ground,Rope Hook,1,0,24,0,0,35,29
1,30,ground,Torch,1,90,0,0,0,56,34
1,30,ground,Buckler,1,30,0,0,0,53,65
1,30,ground,Hatchet,1,35,0,0,0,13,78
1,30,ground,Ammo,1,0,0,0,0,12,84
1,30,ground,Medkit,1,0,0,0,0,76,60
1,30,ground,Flint Knife,1,60,0,0,0,15,99
1,30,ground,Ammo,1,0,0,0,0,13,100
1,30,ground,Bandage,2,0,0,0,0,74,56
1,30,ground,Pickaxe,1,32,0,0,0,86,57
1,30,ground,Sticky Boots,1,0,4,0,0,19,74
1,31,ground,Stick,1,18,0,0,0,35,81
1,31,ground,River Fish,5,0,0,0,0,100,80
1,31,ground,River Fish,4,0,0,0,0,16,95
1,31,ground,Straw Decoy,1,0,0,0,0,79,42
1,31,ground,Water flask,2,0,0,0,0,78,72
1,31,ground,Rake,1,400,0,0,0,32,106
1,31,ground,Bandage,2,0,0,0,0,36,98
1,31,ground,Fungal Bread,1,0,0,0,0,82,53
1,31,ground,Wooden Maul,1,24,0,0,0,51,102
1,31,ground,Ammo,1,0,0,0,0,62,107
1,31,ground,Ammo,1,0,0,0,0,102,54
1,31,ground,River Fish,2,0,0,0,0,72,64
1,31,ground,River Fish,5,0,0,0,0,58,53
1,31,ground,River Fish,4,0,0,0,0,30,30
1,31,ground,River Fish,5,0,0,0,0,15,20
1,31,ground,Pickaxe,1,32,0,0,0,52,78
1,32,ground,Stick,1,18,0,0,0,55,35
1,32,ground,Bow,1,0,0,20,0,105,53
