floor,source,item,role,floors_present,sample_floors,presence_percent,avg_pickups_per_floor,avg_units_per_floor,avg_units_per_pickup
1,wall,Bandage,survival,7,256,2.734375,0.02734375,0.08203125,3.0
1,wall,Buckler,combat,3,256,1.171875,0.01171875,0.01171875,1.0
1,wall,Bow,combat,8,256,3.125,0.03125,0.03125,1.0
1,wall,Bomb,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,wall,Sleep Meds,combat,1,256,0.390625,0.00390625,0.01171875,3.0
1,wall,Stick,combat,11,256,4.296875,0.04296875,0.04296875,1.0
1,wall,Bear Trap,combat,4,256,1.5625,0.015625,0.03125,2.0
1,wall,Pickaxe,mobility,13,256,5.078125,0.05078125,0.05078125,1.0
1,wall,Cooked Meat,survival,20,256,7.8125,0.078125,0.15625,2.0
1,wall,Throwing Rock,combat,15,256,5.859375,0.0625,0.1875,3.0
1,wall,Hatchet,combat,11,256,4.296875,0.04296875,0.04296875,1.0
1,wall,Hunting Spear,combat,6,256,2.34375,0.0234375,0.0234375,1.0
1,wall,Wooden Maul,combat,6,256,2.34375,0.0234375,0.0234375,1.0
1,wall,Flint Knife,combat,13,256,5.078125,0.05078125,0.05078125,1.0
1,wall,Torch,combat,6,256,2.34375,0.0234375,0.0234375,1.0
1,wall,Sap jar,combat,8,256,3.125,0.03125,0.0625,2.0
1,wall,Water flask,survival,10,256,3.90625,0.0390625,0.078125,2.0
1,wall,Mushroom spores,combat,8,256,3.125,0.03125,0.0625,2.0
1,wall,Smoke pot,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,wall,Fried Egg,survival,15,256,5.859375,0.05859375,0.1171875,2.0
1,wall,Digging Claws,combat,5,256,1.953125,0.01953125,0.01953125,1.0
1,wall,Seed Bag,combat,9,256,3.515625,0.03515625,0.03515625,1.0
1,wall,Herb Bag,survival,4,256,1.5625,0.015625,0.015625,1.0
1,wall,Fungal Bread,survival,4,256,1.5625,0.015625,0.015625,1.0
1,wall,Thorn Caltrops,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,wall,Hunting Horn,combat,5,256,1.953125,0.01953125,0.01953125,1.0
1,wall,Rope Hook,mobility,3,256,1.171875,0.01171875,0.01171875,1.0
1,wall,Boomerang,combat,2,256,0.78125,0.0078125,0.0078125,1.0
1,wall,Rope Snare,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,wall,Sticky Boots,survival,4,256,1.5625,0.015625,0.015625,1.0
1,wall,Pitch Bomb,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,wall,Shield Lantern,combat,1,256,0.390625,0.00390625,0.00390625,1.0
1,wall,Reflecting Pan,combat,8,256,3.125,0.03125,0.03125,1.0
1,wall,Straw Decoy,combat,3,256,1.171875,0.01171875,0.01171875,1.0
1,stored,Medkit,survival,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Bandage,survival,2,256,0.78125,0.0078125,0.0234375,3.0
1,stored,Bandaid,oddity,1,256,0.390625,0.00390625,0.01953125,5.0
1,stored,Buckler,combat,2,256,0.78125,0.0078125,0.0078125,1.0
1,stored,Bomb,combat,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Sleep Meds,combat,2,256,0.78125,0.0078125,0.0234375,3.0
1,stored,Stick,combat,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Cooked Meat,survival,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Hatchet,combat,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Rake,utility,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Flint Knife,combat,3,256,1.171875,0.01171875,0.01171875,1.0
1,stored,Torch,combat,2,256,0.78125,0.0078125,0.0078125,1.0
1,stored,Lighter,utility,2,256,0.78125,0.0078125,0.0078125,1.0
1,stored,Sap jar,combat,4,256,1.5625,0.015625,0.03125,2.0
1,stored,Water flask,survival,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Mushroom spores,combat,5,256,1.953125,0.01953125,0.0390625,2.0
1,stored,Smoke pot,combat,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Honey pot,utility,2,256,0.78125,0.0078125,0.0078125,1.0
1,stored,Egg,utility,1,256,0.390625,0.00390625,0.01171875,3.0
1,stored,Digging Claws,combat,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Resin Glue,utility,2,256,0.78125,0.0078125,0.0078125,1.0
1,stored,Seed Bag,combat,5,256,1.953125,0.01953125,0.01953125,1.0
1,stored,Splint,utility,2,256,0.78125,0.0078125,0.0078125,1.0
1,stored,Bitter Root,utility,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Chili,utility,1,256,0.390625,0.00390625,0.00390625,1.0
1,stored,Fungal Bread,survival,3,256,1.171875,0.01171875,0.01171875,1.0
1,stored,Bird Seed,utility,1,256,0.390625,0.00390625,0.01171875,3.0
1,stored,Thorn Caltrops,combat,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Rope Snare,combat,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Pitch Bomb,combat,1,256,0.390625,0.00390625,0.0078125,2.0
1,stored,Reflecting Pan,combat,1,256,0.390625,0.00390625,0.00390625,1.0
1,carried,Buckler,combat,25,256,9.765625,0.1796875,0.1796875,1.0
2,ground,Medkit,survival,181,256,70.703125,0.7265625,0.7265625,1.0
2,ground,Bandage,survival,146,256,57.03125,0.6796875,1.45703125,2.1436781609195403
2,ground,Bandaid,oddity,4,256,1.5625,0.015625,0.078125,5.0
2,ground,Buckler,combat,21,256,8.203125,0.08203125,0.08203125,1.0
2,ground,Bow,combat,82,256,32.03125,0.375,0.375,1.0
2,ground,Ammo,utility,256,256,100.0,2.3671875,2.390625,1.00990099009901
2,ground,Bomb,combat,21,256,8.203125,0.08203125,0.1640625,2.0
2,ground,Sleep Meds,combat,17,256,6.640625,0.0703125,0.2109375,3.0
2,ground,Stick,combat,256,256,100.0,1.3046875,1.3046875,1.0
2,ground,Bear Trap,combat,25,256,9.765625,0.1015625,0.203125,2.0
2,ground,Pickaxe,mobility,109,256,42.578125,0.546875,0.546875,1.0
2,ground,Raw Meat,utility,31,256,12.109375,0.125,0.16015625,1.28125
2,ground,Cooked Meat,survival,24,256,9.375,0.09765625,0.1953125,2.0
2,ground,Throwing Rock,combat,43,256,16.796875,0.18359375,0.55078125,3.0
2,ground,Hatchet,combat,147,256,57.421875,0.78125,0.78125,1.0
2,ground,Hunting Spear,combat,27,256,10.546875,0.1171875,0.1171875,1.0
2,ground,Crossbow,combat,46,256,17.96875,0.1953125,0.1953125,1.0
2,ground,Blunderbuss,combat,3,256,1.171875,0.01171875,0.01171875,1.0
2,ground,Wooden Maul,combat,35,256,13.671875,0.13671875,0.13671875,1.0
2,ground,Rake,utility,111,256,43.359375,0.51953125,0.51953125,1.0
2,ground,Flint Knife,combat,77,256,30.078125,0.37109375,0.37109375,1.0
2,ground,Torch,combat,180,256,70.3125,1.08203125,1.08203125,1.0
2,ground,Lighter,utility,60,256,23.4375,0.28125,0.28125,1.0
2,ground,Oil flask,utility,13,256,5.078125,0.05078125,0.06640625,1.3076923076923077
2,ground,Sap jar,combat,54,256,21.09375,0.23046875,0.43359375,1.88135593220339
2,ground,Water flask,survival,87,256,33.984375,0.3828125,0.765625,2.0
2,ground,Mushroom spores,combat,83,256,32.421875,0.34765625,0.6953125,2.0
2,ground,Smoke pot,combat,19,256,7.421875,0.07421875,0.1484375,2.0
2,ground,Honey pot,utility,26,256,10.15625,0.1015625,0.1015625,1.0
2,ground,Egg,utility,3,256,1.171875,0.01171875,0.03515625,3.0
2,ground,Fried Egg,survival,25,256,9.765625,0.1015625,0.203125,2.0
2,ground,Digging Claws,combat,62,256,24.21875,0.28515625,0.28515625,1.0
2,ground,Resin Glue,utility,54,256,21.09375,0.23046875,0.23046875,1.0
2,ground,Seed Bag,combat,56,256,21.875,0.234375,0.234375,1.0
2,ground,Lantern Seed,oddity,14,256,5.46875,0.0546875,0.0546875,1.0
2,ground,Herb Bag,survival,90,256,35.15625,0.39453125,0.39453125,1.0
2,ground,Splint,utility,26,256,10.15625,0.109375,0.109375,1.0
2,ground,Bitter Root,utility,22,256,8.59375,0.0859375,0.0859375,1.0
2,ground,Chili,utility,23,256,8.984375,0.08984375,0.08984375,1.0
2,ground,Fungal Bread,survival,119,256,46.484375,0.6171875,0.83203125,1.3481012658227849
2,ground,Bird Seed,utility,59,256,23.046875,0.25,0.296875,1.1875
2,ground,Thorn Caltrops,combat,33,256,12.890625,0.1328125,0.22265625,1.6764705882352942
2,ground,Hunting Horn,combat,25,256,9.765625,0.09765625,0.09765625,1.0
2,ground,Rope Hook,mobility,86,256,33.59375,0.36328125,0.36328125,1.0
2,ground,Root Drill,mobility,72,256,28.125,0.28515625,0.28515625,1.0
2,ground,Blink Seed,mobility,5,256,1.953125,0.01953125,0.0390625,2.0
2,ground,Boomerang,combat,24,256,9.375,0.10546875,0.10546875,1.0
2,ground,Rope Snare,combat,29,256,11.328125,0.12109375,0.2421875,2.0
2,ground,Spring Trap,combat,21,256,8.203125,0.0859375,0.171875,2.0
2,ground,Acorn Mine,combat,18,256,7.03125,0.07421875,0.1484375,2.0
2,ground,Throwing Net,combat,58,256,22.65625,0.23046875,0.4609375,2.0
2,ground,Sticky Boots,survival,13,256,5.078125,0.05078125,0.05078125,1.0
2,ground,Rabbit Charm,mobility,2,256,0.78125,0.0078125,0.0078125,1.0
2,ground,Hand Bell,oddity,5,256,1.953125,0.01953125,0.01953125,1.0
2,ground,Firecracker,utility,56,256,21.875,0.30859375,0.62890625,2.037974683544304
2,ground,Stink Bomb,oddity,2,256,0.78125,0.0078125,0.015625,2.0
2,ground,Rotten Fruit,oddity,2,256,0.78125,0.0078125,0.0234375,3.0
2,ground,Pitch Bomb,combat,23,256,8.984375,0.10546875,0.2109375,2.0
2,ground,Shield Lantern,combat,16,256,6.25,0.06640625,0.06640625,1.0
2,ground,Reflecting Pan,combat,15,256,5.859375,0.0625,0.0625,1.0
2,ground,Scarecrow,utility,5,256,1.953125,0.01953125,0.01953125,1.0
2,ground,Straw Decoy,combat,23,256,8.984375,0.09375,0.09375,1.0
2,ground,Wolf Whistle,utility,3,256,1.171875,0.01171875,0.01171875,1.0
2,ground,Thunder Acorn,combat,13,256,5.078125,0.05078125,0.1015625,2.0
2,ground,Pocket Door,mobility,8,256,3.125,0.03125,0.03125,1.0
2,ground,Fishing Line,utility,43,256,16.796875,0.17578125,0.17578125,1.0
2,ground,River Fish,survival,193,256,75.390625,1.91015625,7.609375,3.983640081799591
2,wall,Medkit,survival,11,256,4.296875,0.04296875,0.04296875,1.0
2,wall,Bandage,survival,8,256,3.125,0.03515625,0.10546875,3.0
2,wall,Buckler,combat,1,256,0.390625,0.00390625,0.00390625,1.0
2,wall,Bow,combat,8,256,3.125,0.03125,0.03125,1.0
2,wall,Bomb,combat,2,256,0.78125,0.0078125,0.015625,2.0
2,wall,Sleep Meds,combat,2,256,0.78125,0.0078125,0.0234375,3.0
2,wall,Stick,combat,8,256,3.125,0.03125,0.03125,1.0
2,wall,Bear Trap,combat,4,256,1.5625,0.015625,0.03125,2.0
2,wall,Pickaxe,mobility,6,256,2.34375,0.0234375,0.0234375,1.0
2,wall,Cooked Meat,survival,10,256,3.90625,0.0390625,0.078125,2.0
2,wall,Throwing Rock,combat,7,256,2.734375,0.02734375,0.08203125,3.0
2,wall,Hatchet,combat,14,256,5.46875,0.0546875,0.0546875,1.0
2,wall,Hunting Spear,combat,3,256,1.171875,0.01171875,0.01171875,1.0
2,wall,Crossbow,combat,3,256,1.171875,0.01171875,0.01171875,1.0
2,wall,Wooden Maul,combat,8,256,3.125,0.03515625,0.03515625,1.0
2,wall,Flint Knife,combat,11,256,4.296875,0.04296875,0.04296875,1.0
2,wall,Torch,combat,9,256,3.515625,0.03515625,0.03515625,1.0
2,wall,Sap jar,combat,11,256,4.296875,0.046875,0.09375,2.0
2,wall,Water flask,survival,7,256,2.734375,0.02734375,0.0546875,2.0
2,wall,Mushroom spores,combat,7,256,2.734375,0.02734375,0.0546875,2.0
2,wall,Smoke pot,combat,5,256,1.953125,0.01953125,0.0390625,2.0
2,wall,Fried Egg,survival,9,256,3.515625,0.03515625,0.0703125,2.0
2,wall,Digging Claws,combat,3,256,1.171875,0.01171875,0.01171875,1.0
2,wall,Seed Bag,combat,13,256,5.078125,0.05078125,0.05078125,1.0
2,wall,Herb Bag,survival,3,256,1.171875,0.01171875,0.01171875,1.0
2,wall,Fungal Bread,survival,7,256,2.734375,0.02734375,0.02734375,1.0
2,wall,Thorn Caltrops,combat,3,256,1.171875,0.01171875,0.0234375,2.0
2,wall,Hunting Horn,combat,3,256,1.171875,0.01171875,0.01171875,1.0
2,wall,Rope Hook,mobility,5,256,1.953125,0.01953125,0.01953125,1.0
2,wall,Boomerang,combat,4,256,1.5625,0.015625,0.015625,1.0
2,wall,Rope Snare,combat,3,256,1.171875,0.01171875,0.0234375,2.0
2,wall,Spring Trap,combat,3,256,1.171875,0.01171875,0.0234375,2.0
2,wall,Acorn Mine,combat,6,256,2.34375,0.0234375,0.046875,2.0
2,wall,Throwing Net,combat,4,256,1.5625,0.015625,0.03125,2.0
2,wall,Sticky Boots,survival,5,256,1.953125,0.01953125,0.01953125,1.0
2,wall,Pitch Bomb,combat,1,256,0.390625,0.00390625,0.0078125,2.0
2,wall,Shield Lantern,combat,2,256,0.78125,0.0078125,0.0078125,1.0
2,wall,Reflecting Pan,combat,4,256,1.5625,0.015625,0.015625,1.0
2,wall,Straw Decoy,combat,4,256,1.5625,0.015625,0.015625,1.0
2,stored,Bandaid,oddity,1,256,0.390625,0.00390625,0.01953125,5.0
2,stored,Buckler,combat,2,256,0.78125,0.0078125,0.0078125,1.0
2,stored,Bow,combat,5,256,1.953125,0.01953125,0.01953125,1.0
2,stored,Ammo,utility,1,256,0.390625,0.00390625,0.0078125,2.0
2,stored,Bomb,combat,2,256,0.78125,0.0078125,0.015625,2.0
2,stored,Sleep Meds,combat,2,256,0.78125,0.0078125,0.0234375,3.0
2,stored,Stick,combat,4,256,1.5625,0.015625,0.015625,1.0
2,stored,Bear Trap,combat,1,256,0.390625,0.00390625,0.0078125,2.0
2,stored,Pickaxe,mobility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Throwing Rock,combat,4,256,1.5625,0.015625,0.046875,3.0
2,stored,Hatchet,combat,2,256,0.78125,0.0078125,0.0078125,1.0
2,stored,Crossbow,combat,2,256,0.78125,0.0078125,0.0078125,1.0
2,stored,Wooden Maul,combat,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Rake,utility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Flint Knife,combat,4,256,1.5625,0.015625,0.015625,1.0
2,stored,Lighter,utility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Oil flask,utility,1,256,0.390625,0.00390625,0.0078125,2.0
2,stored,Sap jar,combat,1,256,0.390625,0.00390625,0.0078125,2.0
2,stored,Water flask,survival,2,256,0.78125,0.0078125,0.015625,2.0
2,stored,Mushroom spores,combat,2,256,0.78125,0.0078125,0.015625,2.0
2,stored,Egg,utility,3,256,1.171875,0.01171875,0.03515625,3.0
2,stored,Fried Egg,survival,4,256,1.5625,0.015625,0.03125,2.0
2,stored,Resin Glue,utility,2,256,0.78125,0.0078125,0.0078125,1.0
2,stored,Seed Bag,combat,4,256,1.5625,0.015625,0.015625,1.0
2,stored,Splint,utility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Bitter Root,utility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Fungal Bread,survival,2,256,0.78125,0.0078125,0.0078125,1.0
2,stored,Rope Hook,mobility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Rope Snare,combat,2,256,0.78125,0.0078125,0.015625,2.0
2,stored,Spring Trap,combat,1,256,0.390625,0.00390625,0.0078125,2.0
2,stored,Rotten Fruit,oddity,1,256,0.390625,0.00390625,0.01171875,3.0
2,stored,Reflecting Pan,combat,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Scarecrow,utility,1,256,0.390625,0.00390625,0.00390625,1.0
2,stored,Straw Decoy,combat,1,256,0.390625,0.00390625,0.00390625,1.0
2,carried,Buckler,combat,84,256,32.8125,0.91796875,0.91796875,1.0
3,ground,Medkit,survival,205,256,80.078125,0.84765625,0.84765625,1.0
3,ground,Bandage,survival,208,256,81.25,1.26953125,2.6796875,2.1107692307692307
3,ground,Bandaid,oddity,3,256,1.171875,0.01171875,0.05859375,5.0
3,ground,Buckler,combat,27,256,10.546875,0.10546875,0.10546875,1.0
3,ground,Bow,combat,75,256,29.296875,0.359375,0.359375,1.0
3,ground,Ammo,utility,256,256,100.0,2.77734375,2.79296875,1.0056258790436006
3,ground,Bomb,combat,22,256,8.59375,0.08984375,0.1796875,2.0
3,ground,Sleep Meds,combat,20,256,7.8125,0.078125,0.234375,3.0
3,ground,Stick,combat,256,256,100.0,1.2421875,1.2421875,1.0
3,ground,Bear Trap,combat,28,256,10.9375,0.11328125,0.2265625,2.0
3,ground,Pickaxe,mobility,111,256,43.359375,0.55078125,0.55078125,1.0
3,ground,Raw Meat,utility,19,256,7.421875,0.07421875,0.09375,1.263157894736842
3,ground,Cooked Meat,survival,25,256,9.765625,0.10546875,0.2109375,2.0
3,ground,Throwing Rock,combat,39,256,15.234375,0.171875,0.515625,3.0
3,ground,Hatchet,combat,129,256,50.390625,0.7109375,0.7109375,1.0
3,ground,Hunting Spear,combat,43,256,16.796875,0.1796875,0.1796875,1.0
3,ground,Crossbow,combat,32,256,12.5,0.1328125,0.1328125,1.0
3,ground,Blunderbuss,combat,38,256,14.84375,0.15625,0.15625,1.0
3,ground,Wooden Maul,combat,46,256,17.96875,0.19140625,0.19140625,1.0
3,ground,Rake,utility,106,256,41.40625,0.5078125,0.5078125,1.0
3,ground,Flint Knife,combat,80,256,31.25,0.375,0.375,1.0
3,ground,Torch,combat,180,256,70.3125,1.140625,1.140625,1.0
3,ground,Lighter,utility,70,256,27.34375,0.3203125,0.3203125,1.0
3,ground,Oil flask,utility,20,256,7.8125,0.078125,0.09375,1.2
3,ground,Sap jar,combat,53,256,20.703125,0.23046875,0.41796875,1.8135593220338984
3,ground,Water flask,survival,83,256,32.421875,0.37890625,0.7578125,2.0
3,ground,Mushroom spores,combat,87,256,33.984375,0.40234375,0.8046875,2.0
3,ground,Smoke pot,combat,20,256,7.8125,0.078125,0.15625,2.0
3,ground,Honey pot,utility,16,256,6.25,0.0625,0.0625,1.0
3,ground,Egg,utility,5,256,1.953125,0.01953125,0.05859375,3.0
3,ground,Fried Egg,survival,25,256,9.765625,0.1015625,0.203125,2.0
3,ground,Digging Claws,combat,49,256,19.140625,0.203125,0.203125,1.0
3,ground,Resin Glue,utility,44,256,17.1875,0.17578125,0.17578125,1.0
3,ground,Seed Bag,combat,51,256,19.921875,0.20703125,0.20703125,1.0
3,ground,Lantern Seed,oddity,15,256,5.859375,0.05859375,0.05859375,1.0
3,ground,Herb Bag,survival,119,256,46.484375,0.58984375,0.58984375,1.0
3,ground,Splint,utility,22,256,8.59375,0.08984375,0.08984375,1.0
3,ground,Bitter Root,utility,21,256,8.203125,0.08203125,0.08203125,1.0
3,ground,Chili,utility,19,256,7.421875,0.07421875,0.07421875,1.0
3,ground,Fungal Bread,survival,146,256,57.03125,0.859375,1.125,1.309090909090909
3,ground,Bird Seed,utility,71,256,27.734375,0.28515625,0.32421875,1.1369863013698631
3,ground,Thorn Caltrops,combat,29,256,11.328125,0.11328125,0.203125,1.793103448275862
3,ground,Hunting Horn,combat,25,256,9.765625,0.11328125,0.11328125,1.0
3,ground,Rope Hook,mobility,81,256,31.640625,0.359375,0.359375,1.0
3,ground,Root Drill,mobility,73,256,28.515625,0.30078125,0.30078125,1.0
3,ground,Blink Seed,mobility,19,256,7.421875,0.07421875,0.1484375,2.0
3,ground,Boomerang,combat,21,256,8.203125,0.08203125,0.08203125,1.0
3,ground,Rope Snare,combat,35,256,13.671875,0.140625,0.28125,2.0
3,ground,Spring Trap,combat,22,256,8.59375,0.08984375,0.1796875,2.0
3,ground,Acorn Mine,combat,15,256,5.859375,0.05859375,0.1171875,2.0
3,ground,Throwing Net,combat,68,256,26.5625,0.29296875,0.5859375,2.0
3,ground,Sticky Boots,survival,8,256,3.125,0.03125,0.03125,1.0
3,ground,Rabbit Charm,mobility,24,256,9.375,0.09375,0.09375,1.0
3,ground,Hand Bell,oddity,5,256,1.953125,0.01953125,0.01953125,1.0
3,ground,Firecracker,utility,48,256,18.75,0.26171875,0.55078125,2.1044776119402986
3,ground,Stink Bomb,oddity,3,256,1.171875,0.01171875,0.0234375,2.0
3,ground,Rotten Fruit,oddity,1,256,0.390625,0.00390625,0.01171875,3.0
3,ground,Pitch Bomb,combat,21,256,8.203125,0.0859375,0.171875,2.0
3,ground,Shield Lantern,combat,22,256,8.59375,0.08984375,0.08984375,1.0
3,ground,Reflecting Pan,combat,22,256,8.59375,0.09375,0.09375,1.0
3,ground,Scarecrow,utility,3,256,1.171875,0.01171875,0.01171875,1.0
3,ground,Straw Decoy,combat,17,256,6.640625,0.06640625,0.06640625,1.0
3,ground,Wolf Whistle,utility,3,256,1.171875,0.01171875,0.01171875,1.0
3,ground,Thunder Acorn,combat,21,256,8.203125,0.0859375,0.171875,2.0
3,ground,Pocket Door,mobility,14,256,5.46875,0.0546875,0.0546875,1.0
3,ground,Fishing Line,utility,47,256,18.359375,0.2265625,0.2265625,1.0
3,ground,River Fish,survival,199,256,77.734375,2.0,8.0390625,4.01953125
3,wall,Medkit,survival,6,256,2.34375,0.0234375,0.0234375,1.0
3,wall,Bandage,survival,17,256,6.640625,0.06640625,0.19921875,3.0
3,wall,Buckler,combat,2,256,0.78125,0.0078125,0.0078125,1.0
3,wall,Bow,combat,11,256,4.296875,0.046875,0.046875,1.0
3,wall,Bomb,combat,2,256,0.78125,0.0078125,0.015625,2.0
3,wall,Sleep Meds,combat,6,256,2.34375,0.0234375,0.0703125,3.0
3,wall,Stick,combat,8,256,3.125,0.03125,0.03125,1.0
3,wall,Bear Trap,combat,3,256,1.171875,0.01171875,0.0234375,2.0
3,wall,Pickaxe,mobility,11,256,4.296875,0.04296875,0.04296875,1.0
3,wall,Cooked Meat,survival,13,256,5.078125,0.05078125,0.1015625,2.0
3,wall,Throwing Rock,combat,15,256,5.859375,0.05859375,0.17578125,3.0
3,wall,Hatchet,combat,11,256,4.296875,0.04296875,0.04296875,1.0
3,wall,Hunting Spear,combat,5,256,1.953125,0.01953125,0.01953125,1.0
3,wall,Crossbow,combat,3,256,1.171875,0.01171875,0.01171875,1.0
3,wall,Blunderbuss,combat,2,256,0.78125,0.0078125,0.0078125,1.0
